,year,crashes,casuality,fatalities,registered_vehicles,estimated_pop
0,1981-01-01,1715,940,93,34698,941027
1,1982-01-01,2648,1614,130,38451,975625
2,1983-01-01,2205,1251,176,42479,101138
3,1984-01-01,3300,1799,168,47192,104845
4,1985-01-01,3521,2369,198,51678,1086139
5,1986-01-01,4983,1448,182,55604,1125008
6,1987-01-01,4515,1746,191,57705,1164893
7,1988-01-01,5741,2923,262,64301,1205834
8,1989-01-01,6299,4136,295,70030,1247771
9,1990-01-01,7614,4845,314,80953,1290642
10,1991-01-01,8381,4871,349,83048,1326796
11,1992-01-01,9017,4909,368,90405,1378993
12,1993-01-01,9161,5136,379,94440,1424502
13,1994-01-01,9420,5171,352,108048,1458690
14,1995-01-01,9536,5247,410,117733,1493699
15,1996-01-01,10338,5457,388,128292,1529548
16,1997-01-01,11882,5956,411,133691,1546725
17,1998-01-01,14279,6887,453,139839,1598610
18,1999-01-01,16922,8049,494,149639,1603847
19,2000-01-01,16313,7790,529,154000,1642339
20,2001-01-01,17125,7945,526,166405,1622129
21,2002-01-01,18610,8014,520,186865,1649659
22,2003-01-01,18329,7969,557,204228,1973184
23,2004-01-01,18136,7840,532,225182,1692731
24,2005-01-01,17522,7069,450,246681,1708327
25,2006-01-01,17035,6952,429,277117,1719996
26,2007-01-01,19487,7639,497,293755,1736396
27,2008-01-01,20415,8160,455,329270,1755246
28,2009-01-01,20000,7970,475,359223,1776494
29,2010-01-01,18978,6430,397,394401,1800098
30,2011-01-01,18001,6436,483,430594,2024904
31,2012-01-01,17527,6035,404,473530,2066406
32,2013-01-01,17062,6157,411,515270,2107484
33,2014-01-01,16641,6065,377,556737,2147906
34,2015-01-01,17564,6303,411,602822,2187477
35,2016-01-01,18373,6687,450,653274,2226040
36,2017-01-01,17786,5033,444,649519,2264993
37,2018-01-01,17341,6243,462,224516,2302878
38,2019-01-01,18623,6442,457,224516,2338851
39,2020-01-01,15075,5052,325,224516,2374698
40,2021-01-01,17277,5219,413,224516,1593064
