Police District,Police Station,Year,Fatalities,Serious Injury,Minor Injury
Gaborone West,G-West,2014,22,31,211
Gaborone West,Naledi,2014,5,15,52
Gaborone West,Ramotswa,2014,11,15,63
Gaborone West,SSK Airport,2014,5,25,81
Gaborone West,Mogoditshane,2014,25,77,385
Mahalapye,Mahalapye,2014,11,43,182
Mahalapye,Shoshong,2014,2,1,13
Mahalapye,Machaneng,2014,2,12,26
Mahalapye,Martindrift,2014,1,0,123
Mahalapye,Dibete,2014,16,50,59
Molepolole,Letlhakeng,2014,1,15,30
Molepolole,Molepolole,2014,12,27,151
Molepolole,Thamaga,2014,15,34,124
Molepolole,Takatokwane,2014,3,2,13
Molepolole,Sojwe,2014,0,4,12
Serowe,Palapye,2014,29,69,205
Serowe,Serowe,2014,16,40,189
Serowe,Mauntlala,2014,2,4,20
Serowe,Serule,2014,5,18,31
Kutlwano,Kutlwano,2014,4,22,118
Kutlwano,Tatitown,2014,10,19,61
Kutlwano,Matsiloje,2014,0,1,6
Kutlwano,Tonota,2014,5,21,99
Kutlwano,Gerald,2014,3,4,20
Kutlwano,Dukwi,2014,1,9,26
Gaborone West,G-West,2017,15,29,249
Gaborone West,Naledi,2017,1,16,69
Gaborone West,Ramotswa,2017,14,18,72
Gaborone West,SSK Airport,2017,3,15,56
Gaborone West,Mogoditshane,2017,32,88,440
Mahalapye,Mahalapye,2017,21,46,123
Mahalapye,Shoshong,2017,6,5,10
Mahalapye,Machaneng,2017,1,7,32
Mahalapye,Martindrift,2017,5,11,16
Mahalapye,Dibete,2017,10,21,55
Molepolole,Letlhakeng,2017,2,13,40
Molepolole,Molepolole,2017,16,35,123
Molepolole,Thamaga,2017,15,23,117
Molepolole,Takatokwane,2017,2,3,9
Molepolole,Sojwe,2017,7,10,17
Serowe,Palapye,2017,20,36,161
Serowe,Serowe,2017,11,22,202
Serowe,Mauntlala,2017,3,8,30
Serowe,Serule,2017,2,4,33
Kutlwano,Kutlwano,2017,2,28,124
Kutlwano,Tatitown,2017,12,21,31
Kutlwano,Matsiloje,2017,0,0,4
Kutlwano,Tonota,2017,15,22,56
Kutlwano,Gerald,2017,1,4,29
Kutlwano,Dukwi,2017,3,12,25
Gaborone West,G-West,2015,20,43,247
Gaborone West,Naledi,2015,5,10,89
Gaborone West,Ramotswa,2015,10,29,94
Gaborone West,SSK Airport,2015,2,13,58
Gaborone West,Mogoditshane,2015,20,79,394
Mahalapye,Mahalapye,2015,17,59,154
Mahalapye,Shoshong,2015,2,5,14
Mahalapye,Machaneng,2015,3,11,33
Mahalapye,Martindrift,2015,19,17,24
Mahalapye,Dibete,2015,13,50,42
Molepolole,Letlhakeng,2015,1,7,34
Molepolole,Molepolole,2015,10,39,151
Molepolole,Thamaga,2015,7,24,85
Molepolole,Takatokwane,2015,8,106,20
Molepolole,Sojwe,2015,1,6,15
Serowe,Palapye,2015,11,23,128
